list-none-none,1,10,1,30,88453,0
list-none-none,1,100,1,300,239956,0
list-none-none,1,1000,1,3000,3353219,0
list-none-none,1,10000,1,30000,442129414,0
list-none-none,1,20000,1,60000,1206689698,0
list-none-none,2,1,1,6,83808,0
list-i-none,2,1,1,6,87307,0
list-d-none,2,1,1,6,132458,0
list-l-none,2,1,1,6,151730,0
list-id-none,2,1,1,6,96581,0
list-il-none,2,1,1,6,114837,0
list-dl-none,2,1,1,6,115759,0
list-idl-none,2,1,1,6,148928,0
list-none-none,2,10,1,60,98707,0
list-i-none,2,10,1,60,149494,0
list-d-none,2,10,1,60,148853,0
list-l-none,2,10,1,60,148050,0
list-id-none,2,10,1,60,92431,0
list-il-none,2,10,1,60,152677,0
list-dl-none,2,10,1,60,151210,0
list-idl-none,2,10,1,60,149973,0
list-none-none,2,100,1,600,119258,0
list-i-none,2,100,1,600,184352,0
list-d-none,2,100,1,600,201572,0
list-l-none,2,100,1,600,115026,0
list-id-none,2,100,1,600,180689,0
list-il-none,2,100,1,600,183002,0
list-dl-none,2,100,1,600,183232,0
list-idl-none,2,100,1,600,154286,0
list-i-none,2,1000,1,6000,3191898,0
list-d-none,2,1000,1,6000,4646918,0
list-l-none,2,1000,1,6000,3293556,0
list-id-none,2,1000,1,6000,3315165,0
list-il-none,2,1000,1,6000,3238999,0
list-dl-none,2,1000,1,6000,3290999,0
list-idl-none,2,1000,1,6000,3249775,0
list-none-none,4,1,1,12,180934,0
list-i-none,4,1,1,12,179840,0
list-d-none,4,1,1,12,177077,0
list-l-none,4,1,1,12,142023,0
list-id-none,4,1,1,12,171212,0
list-il-none,4,1,1,12,170362,0
list-dl-none,4,1,1,12,172385,0
list-idl-none,4,1,1,12,146184,0
list-none-none,4,10,1,120,180427,0
list-i-none,4,10,1,120,174109,0
list-d-none,4,10,1,120,140254,0
list-l-none,4,10,1,120,176354,0
list-id-none,4,10,1,120,175335,0
list-il-none,4,10,1,120,175111,0
list-dl-none,4,10,1,120,135268,0
list-idl-none,4,10,1,120,174547,0
list-none-none,4,100,1,1200,200723,0
list-i-none,4,100,1,1200,133829,0
list-d-none,4,100,1,1200,185906,0
list-l-none,4,100,1,1200,196781,0
list-id-none,4,100,1,1200,137960,0
list-il-none,4,100,1,1200,198184,0
list-dl-none,4,100,1,1200,210737,0
list-idl-none,4,100,1,1200,151140,0
list-none-none,4,1000,1,12000,3381169,0
list-i-none,4,1000,1,12000,3375735,0
list-d-none,4,1000,1,12000,3439984,0
list-l-none,4,1000,1,12000,4915678,0
list-id-none,4,1000,1,12000,4811089,0
list-il-none,4,1000,1,12000,3440841,0
list-dl-none,4,1000,1,12000,3441130,0
list-idl-none,4,1000,1,12000,4956386,0
list-none-none,8,1,1,24,323426,0
list-i-none,8,1,1,24,333354,0
list-d-none,8,1,1,24,302328,0
list-l-none,8,1,1,24,310006,0
list-id-none,8,1,1,24,297107,0
list-il-none,8,1,1,24,282500,0
list-dl-none,8,1,1,24,296688,0
list-idl-none,8,1,1,24,223788,0
list-none-none,8,10,1,240,298340,0
list-i-none,8,10,1,240,321304,0
list-d-none,8,10,1,240,327998,0
list-l-none,8,10,1,240,291880,0
list-id-none,8,10,1,240,281461,0
list-il-none,8,10,1,240,284596,0
list-dl-none,8,10,1,240,295834,0
list-idl-none,8,10,1,240,268931,0
list-none-none,8,100,1,2400,277864,0
list-i-none,8,100,1,2400,222944,0
list-d-none,8,100,1,2400,244922,0
list-l-none,8,100,1,2400,272592,0
list-id-none,8,100,1,2400,280008,0
list-il-none,8,100,1,2400,271757,0
list-dl-none,8,100,1,2400,248070,0
list-idl-none,8,100,1,2400,235150,0
list-none-none,8,1000,1,24000,3512428,0
list-d-none,8,1000,1,24000,3520715,0
list-l-none,8,1000,1,24000,4907031,0
list-id-none,8,1000,1,24000,5084596,0
list-il-none,8,1000,1,24000,3517611,0
list-dl-none,8,1000,1,24000,3472304,0
list-idl-none,8,1000,1,24000,3594273,0
list-none-none,12,1,1,36,459258,0
list-i-none,12,1,1,36,430179,0
list-d-none,12,1,1,36,464289,0
list-l-none,12,1,1,36,445803,0
list-id-none,12,1,1,36,399755,0
list-il-none,12,1,1,36,453551,0
list-dl-none,12,1,1,36,458049,0
list-idl-none,12,1,1,36,422064,0
list-none-none,12,10,1,360,435727,0
list-i-none,12,10,1,360,504153,0
list-d-none,12,10,1,360,422423,0
list-l-none,12,10,1,360,417387,0
list-id-none,12,10,1,360,492018,0
list-il-none,12,10,1,360,467118,0
list-dl-none,12,10,1,360,400194,0
list-idl-none,12,10,1,360,443053,0
list-none-none,12,100,1,3600,504510,0
list-i-none,12,100,1,3600,471151,0
list-d-none,12,100,1,3600,419774,0
list-l-none,12,100,1,3600,439154,0
list-id-none,12,100,1,3600,433772,0
list-dl-none,12,100,1,3600,407805,0
list-idl-none,12,100,1,3600,415832,0
list-none-none,12,1000,1,36000,3587030,0
list-i-none,12,1000,1,36000,5126459,0
list-d-none,12,1000,1,36000,3544370,0
list-l-none,12,1000,1,36000,3776351,0
list-id-none,12,1000,1,36000,3545485,0
list-dl-none,12,1000,1,36000,3579323,0
list-idl-none,12,1000,1,36000,3458955,0
list-none-none,2,1,1,6,142706,0
list-i-none,2,1,1,6,113234,0
list-d-none,2,1,1,6,115532,0
list-l-none,2,1,1,6,91130,0
list-id-none,2,1,1,6,88129,0
list-il-none,2,1,1,6,139081,0
list-dl-none,2,1,1,6,142650,0
list-idl-none,2,1,1,6,142262,0
list-none-none,2,2,1,12,143544,0
list-i-none,2,2,1,12,143084,0
list-d-none,2,2,1,12,89906,0
list-l-none,2,2,1,12,172202,0
list-id-none,2,2,1,12,140930,0
list-il-none,2,2,1,12,143243,0
list-dl-none,2,2,1,12,142021,0
list-idl-none,2,2,1,12,98856,0
list-none-none,2,4,1,24,90532,0
list-i-none,2,4,1,24,174463,0
list-d-none,2,4,1,24,143922,0
list-l-none,2,4,1,24,144896,0
list-id-none,2,4,1,24,141975,0
list-il-none,2,4,1,24,91352,0
list-dl-none,2,4,1,24,90773,0
list-idl-none,2,4,1,24,155610,0
list-none-none,2,8,1,48,143344,0
list-i-none,2,8,1,48,142266,0
list-d-none,2,8,1,48,144206,0
list-l-none,2,8,1,48,125438,0
list-id-none,2,8,1,48,80778,0
list-il-none,2,8,1,48,148992,0
list-dl-none,2,8,1,48,143026,0
list-idl-none,2,8,1,48,146497,0
list-none-none,2,16,1,96,98326,0
list-i-none,2,16,1,96,91248,0
list-d-none,2,16,1,96,144602,0
list-l-none,2,16,1,96,143634,0
list-id-none,2,16,1,96,86157,0
list-il-none,2,16,1,96,150827,0
list-dl-none,2,16,1,96,146304,0
list-idl-none,2,16,1,96,94200,0
list-none-none,2,32,1,192,150698,0
list-i-none,2,32,1,192,145390,0
list-l-none,2,32,1,192,108551,0
list-id-none,2,32,1,192,88530,0
list-il-none,2,32,1,192,149671,0
list-dl-none,2,32,1,192,111160,0
list-idl-none,2,32,1,192,103422,0
list-none-none,4,1,1,12,175393,0
list-i-none,4,1,1,12,175579,0
list-d-none,4,1,1,12,135959,0
list-l-none,4,1,1,12,175390,0
list-id-none,4,1,1,12,173780,0
list-il-none,4,1,1,12,172695,0
list-dl-none,4,1,1,12,160748,0
list-idl-none,4,1,1,12,173325,0
list-none-none,4,2,1,24,173371,0
list-i-none,4,2,1,24,176240,0
list-d-none,4,2,1,24,191295,0
list-l-none,4,2,1,24,174605,0
list-id-none,4,2,1,24,174840,0
list-il-none,4,2,1,24,133259,0
list-dl-none,4,2,1,24,181430,0
list-idl-none,4,2,1,24,130796,0
list-none-none,4,4,1,48,177011,0
list-d-none,4,4,1,48,172669,0
list-l-none,4,4,1,48,173609,0
list-id-none,4,4,1,48,149434,0
list-il-none,4,4,1,48,174581,0
list-dl-none,4,4,1,48,170253,0
list-idl-none,4,4,1,48,172868,0
list-none-none,4,8,1,96,178132,0
list-i-none,4,8,1,96,217706,0
list-d-none,4,8,1,96,175301,0
list-l-none,4,8,1,96,170967,0
list-id-none,4,8,1,96,158816,0
list-il-none,4,8,1,96,176333,0
list-idl-none,4,8,1,96,181749,0
list-none-none,4,16,1,192,170967,0
list-i-none,4,16,1,192,174673,0
list-d-none,4,16,1,192,171068,0
list-l-none,4,16,1,192,158293,0
list-id-none,4,16,1,192,166654,0
list-dl-none,4,16,1,192,135013,0
list-idl-none,4,16,1,192,179634,0
list-none-none,4,32,1,384,173947,0
list-i-none,4,32,1,384,176064,0
list-d-none,4,32,1,384,130369,0
list-l-none,4,32,1,384,177071,0
list-id-none,4,32,1,384,172087,0
list-il-none,4,32,1,384,141279,0
list-dl-none,4,32,1,384,169718,0
list-idl-none,4,32,1,384,175457,0
list-none-none,8,1,1,24,281257,0
list-i-none,8,1,1,24,331968,0
list-d-none,8,1,1,24,294858,0
list-l-none,8,1,1,24,317176,0
list-id-none,8,1,1,24,272382,0
list-il-none,8,1,1,24,297340,0
list-dl-none,8,1,1,24,278193,0
list-idl-none,8,1,1,24,263397,0
list-none-none,8,2,1,48,318019,0
list-i-none,8,2,1,48,288238,0
list-d-none,8,2,1,48,267405,0
list-l-none,8,2,1,48,354213,0
list-id-none,8,2,1,48,273504,0
list-il-none,8,2,1,48,267642,0
list-dl-none,8,2,1,48,284969,0
list-idl-none,8,2,1,48,277226,0
list-none-none,8,4,1,96,289241,0
list-i-none,8,4,1,96,258416,0
list-d-none,8,4,1,96,327086,0
list-l-none,8,4,1,96,306120,0
list-id-none,8,4,1,96,273697,0
