add-m,4,20,160,178226,1113,0
add-yield-m,4,20,160,335873,2099,0
add-s,4,20,160,163017,1018,0
add-yield-s,4,20,160,292463,1827,0
add-c,4,20,160,165010,1031,0
add-yield-c,4,20,160,261738,1635,0
add-none,8,20,320,332001,1037,0
add-yield-none,8,20,320,336798,1052,83
add-m,8,20,320,352002,1100,0
add-yield-m,8,20,320,699427,2185,0
add-s,8,20,320,322446,1007,0
add-yield-s,8,20,320,613199,1916,0
add-c,8,20,320,274067,856,0
add-yield-c,8,20,320,475001,1484,0
add-none,12,20,480,450306,938,0
add-yield-none,12,20,480,472616,984,132
add-m,12,20,480,408657,851,0
add-yield-m,12,20,480,1107168,2306,0
add-s,12,20,480,397252,827,0
add-yield-s,12,20,480,1105610,2303,0
add-c,12,20,480,414235,862,0
add-yield-c,12,20,480,638881,1331,0
add-none,1,40,80,113725,1421,0
add-yield-none,1,40,80,187934,2349,0
add-m,1,40,80,162706,2033,0
add-yield-m,1,40,80,210456,2630,0
add-s,1,40,80,142259,1778,0
add-yield-s,1,40,80,211634,2645,0
add-c,1,40,80,140911,1761,0
add-yield-c,1,40,80,216098,2701,0
add-none,2,40,160,145900,911,0
add-yield-none,2,40,160,188483,1178,17
add-m,2,40,160,137173,857,0
add-yield-m,2,40,160,379588,2372,0
add-s,2,40,160,121861,761,0
add-yield-s,2,40,160,263926,1649,0
add-c,2,40,160,128859,805,0
add-yield-c,2,40,160,279171,1744,0
add-none,4,40,320,178324,557,0
add-yield-none,4,40,320,246783,771,32
add-m,4,40,320,198671,620,0
add-yield-m,4,40,320,603374,1885,0
add-s,4,40,320,165741,517,0
add-yield-s,4,40,320,474797,1483,0
add-c,4,40,320,219858,687,0
add-yield-c,4,40,320,451752,1411,0
add-none,8,40,640,304648,476,0
add-yield-none,8,40,640,353970,553,132
add-m,8,40,640,295992,462,0
add-yield-m,8,40,640,1253220,1958,0
add-s,8,40,640,292216,456,0
add-yield-s,8,40,640,1280915,2001,0
add-c,8,40,640,295939,462,0
add-yield-c,8,40,640,721317,1127,0
add-none,12,40,960,387364,403,0
add-yield-none,12,40,960,448119,466,88
add-m,12,40,960,383888,399,0
add-yield-m,12,40,960,2199835,2291,0
add-s,12,40,960,395598,412,0
add-yield-s,12,40,960,1937341,2018,0
add-c,12,40,960,399126,415,0
add-yield-c,12,40,960,1103435,1149,0
add-none,1,80,160,136722,854,0
add-yield-none,1,80,160,247521,1547,0
add-m,1,80,160,152979,956,0
add-yield-m,1,80,160,276937,1730,0
add-s,1,80,160,144363,902,0
add-yield-s,1,80,160,290287,1814,0
add-c,1,80,160,156837,980,0
add-yield-c,1,80,160,293341,1833,0
add-none,2,80,320,146386,457,0
add-yield-none,2,80,320,291724,911,21
add-m,2,80,320,153247,478,0
add-yield-m,2,80,320,651715,2036,0
add-s,2,80,320,119235,372,0
add-yield-s,2,80,320,411363,1285,0
add-c,2,80,320,169220,528,0
add-yield-c,2,80,320,451650,1411,0
add-none,4,80,640,202887,317,0
add-yield-none,4,80,640,321920,503,58
add-m,4,80,640,228550,357,0
add-yield-m,4,80,640,1068927,1670,0
add-s,4,80,640,163878,256,0
add-yield-s,4,80,640,875436,1367,0
add-c,4,80,640,191649,299,0
add-yield-c,4,80,640,729340,1139,0
add-none,8,80,1280,285973,223,0
add-yield-none,8,80,1280,431302,336,29
add-m,8,80,1280,279904,218,0
add-yield-m,8,80,1280,2344889,1831,0
add-s,8,80,1280,278309,217,0
add-yield-s,8,80,1280,2028226,1584,0
add-c,8,80,1280,278830,217,0
add-yield-c,8,80,1280,1308308,1022,0
add-none,12,80,1920,395605,206,0
add-yield-none,12,80,1920,564551,294,214
add-m,12,80,1920,383592,199,0
add-yield-m,12,80,1920,3537925,1842,0
add-s,12,80,1920,371449,193,0
add-yield-s,12,80,1920,3625066,1888,0
add-c,12,80,1920,381499,198,0
add-yield-c,12,80,1920,2062282,1074,0
add-none,1,100,200,202749,1013,0
add-yield-none,1,100,200,293491,1467,0
add-m,1,100,200,160324,801,0
add-yield-m,1,100,200,292284,1461,0
add-s,1,100,200,134421,672,0
add-yield-s,1,100,200,318774,1593,0
add-c,1,100,200,140612,703,0
add-yield-c,1,100,200,315021,1575,0
add-none,2,100,400,160639,401,0
add-yield-none,2,100,400,316558,791,42
add-m,2,100,400,163010,407,0
add-yield-m,2,100,400,810437,2026,0
add-s,2,100,400,132225,330,0
add-yield-s,2,100,400,484821,1212,0
